Tick,Dist_SameFeature_WithNoise,Dist_DifferentFeature
931,73.113,84.29
932,73.152,85.027
933,73.675,83.892
934,73.723,84.879
935,73.15,84.177
936,73.515,83.301
937,73.467,83.212
938,73.541,83.372
939,73.553,83.15
940,73.578,82.464
941,73.307,83.203
942,73.205,82.729
943,73.776,82.071
944,73.763,82.683
945,74.092,82.753
946,73.868,82.524
947,74.239,82.927
948,74.658,82.82
949,74.473,83.884
950,73.683,83.827
951,73.869,84.042
952,74.442,84.233
953,74.981,85.012
954,74.6,84.898
955,75.181,84.331
956,75.096,84.706
957,74.789,84.839
958,75.034,84.811
959,75.484,84.928
960,75.495,85.698
961,75.611,85.192
962,75.814,85.227
963,75.424,84.835
964,75.057,85.632
965,75.018,85.49
966,75.371,85.342
967,76.178,85.892
968,75.124,85.12
969,75.301,85.159
970,75.292,84.666
971,75.101,85.841
972,75.124,85.519
973,74.876,86.257
974,74.951,86.509
975,74.953,86.766
976,74.652,87.446
977,74.538,86.606
978,75.343,87.052
979,74.253,86.567
980,74.718,86.135
981,74.532,85.464
982,74.455,86.06
983,74.763,85.866
984,74.321,86.115
985,74.991,86.623
986,74.919,86.947
987,74.975,87.097
988,74.331,86.635
989,74.038,86.309
990,74.257,87.046
991,75.274,87.694
992,73.582,86.311
993,74.092,86.426
994,73.813,86.62
995,74.302,86.006
996,73.897,85.843
997,75.466,86.455
998,74.34,86.481
999,75.241,86.556
1000,74.977,85.603
1001,75.262,87.227
1002,74.168,86.55
1003,74.207,85.891
1004,73.258,84.86
1005,73.934,85.664
1006,73.234,84.364
1007,74.201,85.52
1008,74.412,84.773
1009,73.397,84.811
1010,75.068,84.517
1011,75.104,85.469
1012,74.22,84.335
1013,74.666,84.354
1014,74.961,83.955
1015,74.16,84.544
1016,73.649,83.718
1017,74.092,84.358
1018,73.41,84.392
1019,74.645,84.658
1020,74.123,85.023
1021,74.215,84.743
1022,74.978,85.344
1023,74.693,84.82
1024,75.201,85.162
1025,74.659,84.763
1026,74.923,85.439
1027,74.508,84.36
1028,74.453,84.927
1029,74.552,84.351
1030,74.554,84.486
1031,75.109,84.684
1032,75.177,85.157
1033,74.787,84.485
1034,74.699,84.806
1035,74.54,85.137
1036,74.6,85.265
1037,74.492,85.438
1038,75.082,86.215
1039,75.279,86.102
1040,75.153,85.187
1041,74.567,85.416
1042,74.298,84.654
1043,74.22,84.588
1044,73.384,84.556
1045,73.907,84.548
1046,73.168,85.204
1047,74.126,84.689
1048,74.492,85.503
1049,74.747,85.03
1050,74.122,84.486
1051,74.331,85.317
1052,73.714,85.044
1053,74.221,84.841
1054,73.889,85.131
1055,74.312,84.554
1056,73.437,84.956
1057,74.613,85.29
1058,73.924,84.826
1059,73.913,85.976
1060,74.917,85.352
1061,74.837,85.055
1062,74.364,85.106
1063,74.297,85.306
1064,74.897,85.321
1065,74.776,86.669
1066,74.504,86.153
1067,73.695,86.078
1068,73.115,85.204
1069,73.179,86.575
1070,73.375,85.195
1071,74.4,86.506
1072,72.771,85.595
1073,74.734,86.496
1074,73.262,85.503
1075,74.601,87.07
1076,74.289,86.165
1077,74.619,86.708
1078,74.608,85.762
1079,74.493,86.285
1080,73.991,85.957
1081,74.521,86.267
1082,73.645,85.427
1083,73.94,85.758
1084,74.541,86.18
1085,74.11,86.094
1086,73.969,85.613
1087,73.946,85.57
1088,73.871,85.933
1089,73.83,85.463
1090,74.254,84.945
1091,74.57,85.523
1092,74.437,84.955
1093,74.277,84.922
1094,74.002,84.421
1095,74.423,84.479
1096,74.147,85.068
1097,74.658,85.011
1098,74,84.536
1099,74.637,84.761
1100,74.074,84.574
1101,74.438,83.956
1102,74.967,84.215
1103,74.751,83.99
1104,74.777,85.036
1105,75.433,85.908
1106,75.41,86.013
1107,74.493,84.892
1108,73.922,85.16
1109,73.851,84.694
1110,74.568,85.035
1111,74.517,85.393
1112,74.803,85.337
1113,75.601,84.911
1114,74.72,84.719
1115,75.115,84.188
1116,74.958,83.958
1117,76.24,84.604
1118,74.599,84.039
1119,75.324,84.428
1120,73.726,84.184
1121,74.402,83.918
1122,74.507,83.769
1123,73.492,82.74
1124,73.532,83.382
1125,73.372,83.862
1126,74.227,84.286
1127,73.819,84.448
1128,73.642,84.394
1129,73.658,83.82
1130,73.635,84.288
1131,73.955,84.244
1132,73.018,83.398
1133,73.64,83.934
1134,73.545,83.435
1135,73.96,84.629
1136,72.896,83.632
1137,74.243,84.929
1138,73.585,84.815
1139,74.562,85.784
1140,74.272,85.663
1141,74.45,85.618
1142,74.616,86.063
1143,75.048,86.317
1144,74.03,86.026
1145,75.342,86.383
1146,74.059,86.641
1147,74.821,86.19
1148,74.862,87.199
1149,74.627,87.415
1150,73.74,87.497
1151,74.57,86.952
1152,73.304,86.878
1153,73.446,86.382
1154,73.55,86.577
1155,74.452,86.037
1156,73.743,85.332
1157,74.875,86.037
1158,74.691,86.243
1159,75.116,85.782
1160,74.741,86.734
1161,75.613,86.636
1162,74.679,86.715
1163,75.345,86.437
1164,74.911,86.648
1165,75.217,86.296
1166,74.938,86.06
1167,74.656,86.433
1168,75.169,86.011
1169,74.607,86.04
1170,74.414,85.553
1171,75.047,85.354
1172,74.731,84.811
1173,74.597,84.547
1174,73.934,84.628
1175,74.097,84.379
1176,74.457,84.533
1177,74.054,83.615
1178,74.322,84.204
1179,74.196,83.802
1180,74.156,84.538
1181,74.21,83.759
1182,74.278,84.538
1183,74.524,84.022
1184,73.888,84.019
1185,74.232,84.999
1186,74.375,84.737
1187,73.669,83.401
1188,74.307,84.69
1189,74.462,84.844
1190,73.964,83.614
1191,73.195,84.877
1192,73.914,84.662
1193,73.846,84.8
1194,73.844,84.248
1195,74.358,85.093
1196,75.128,85.099
1197,74.676,84.755
1198,74.676,84.969
1199,74.361,85.581
1200,74.571,85.458
1201,74.368,84.963
1202,73.537,84.813
1203,74.663,85.28
1204,74.131,85.129
1205,74.296,85.481
1206,74.865,86.131
1207,74.9,86.112
1208,74.492,85.657
1209,74.648,85.902
1210,74.678,86.134
1211,74.88,86.049
1212,74.758,86.374
1213,74.989,86.989
1214,74.741,86.062
1215,75.303,86.924
1216,74.612,86.2
1217,74.948,87.386
1218,75.351,86.981
1219,75.446,87.083
1220,75.528,86.799
1221,74.706,86.07
1222,75.205,86.663
1223,75.612,86.731
1224,75.049,85.637
1225,74.968,85.72
1226,74.184,85.447
1227,74.807,85.086
1228,74.213,85.011
1229,74.864,85.275
1230,75.254,86.16
1231,74.999,85.925
1232,75.17,86.552
1233,74.301,86.114
1234,73.498,85.751
1235,73.922,85.333
1236,73.726,86.034
1237,73.476,85.291
1238,73.472,85.501
1239,73.39,86.144
1240,73.444,84.475
1241,72.771,85.817
1242,73.049,84.899
1243,72.599,85.471
1244,72.938,85.123
1245,72.522,85.51
1246,72.664,86.335
1247,73.272,86.402
1248,73.325,86.312
1249,73.178,85.923
1250,73.551,86.953
1251,73.842,86.634
1252,72.856,85.438
1253,73.044,85.175
1254,73.355,85.763
1255,73.516,85.907
1256,73.888,86.233
1257,74.342,85.447
1258,73.647,85.831
1259,74.205,85.924
1260,74.167,85.895
1261,74.193,85.499
1262,74.22,85.544
1263,74.554,85.864
1264,74.561,86.061
1265,74.976,85.818
1266,75.071,86.659
1267,75.132,87.257
1268,75.299,87.436
1269,76.16,88.594
1270,74.821,88.206
1271,75.025,88.472
1272,75.07,87.768
1273,74.542,87.517
1274,74.468,86.272
1275,75.053,86.447
1276,75.102,86.251
1277,74.909,86.482
1278,75.626,86.215
1279,74.877,86.534
1280,74.422,86.048
1281,74.324,85.955
1282,75.072,86.465
1283,74.224,85.886
1284,73.866,86.08
1285,73.783,86.081
1286,74.259,86.741
1287,74.301,86.204
1288,74.358,86.307
1289,73.763,85.896
1290,74.325,86.108
1291,74.094,85.308
1292,72.944,84.349
1293,72.958,85.151
1294,73.523,85.495
1295,73.329,86.138
1296,73.183,85.419
1297,73.957,85.758
1298,73.649,85.762
1299,73.874,85.56
1300,74.362,86.101
1301,74.897,86.339
1302,74.853,86.304
1303,74.74,85.759
1304,74.84,86.691
1305,74.86,86.056
1306,74.231,86.503
1307,75.076,86.48
1308,74.66,87.041
1309,74.029,86.654
1310,74.487,87.202
1311,73.399,86.49
1312,73.767,86.955
1313,73.845,86.656
1314,73.466,86.263
1315,73.823,86.846
1316,73.744,86.691
1317,74.094,86.232
1318,73.666,86.256
1319,74.584,87.005
1320,73.586,86.373
1321,74.551,86.647
1322,73.171,86.099
1323,73.783,85.683
1324,74.385,86.752
1325,74.097,87.643
1326,74.52,86.587
